2020_total_ingu,2020_man_ingu,2020_woman_ingu,2019_total_ingu,2019_man_ingu,2019_woman_ingu,2018_total_ingu,2018_man_ingu,2018_woman_ingu,create_sido,cityCode,citySidoName_y,citySggName_y
149384,72635,76749,151290,73746,77544,153065,74825,78240,서울특별시_종로구,W01,서울특별시,종로구
125240,61222,64018,126171,61910,64261,125725,61947,63778,서울특별시_중구,W02,서울특별시,중구
230040,110722,119318,228670,110356,118314,228999,110640,118359,서울특별시_용산구,W03,서울특별시,용산구
293556,143387,150169,300889,147273,153616,308221,151359,156862,서울특별시_성동구,W04,서울특별시,성동구
346682,167310,179372,351350,170262,181088,355559,172794,182765,서울특별시_광진구,W05,서울특별시,광진구
342837,169769,173068,346194,172113,174081,348052,173567,174485,서울특별시_동대문구,W06,서울특별시,동대문구
394702,195165,199537,397015,196959,200056,403209,200419,202790,서울특별시_중랑구,W07,서울특별시,중랑구
437153,210810,226343,442650,214437,228213,435868,211904,223964,서울특별시_성북구,W08,서울특별시,성북구
308055,150143,157912,313954,153235,160719,319164,156071,163093,서울특별시_강북구,W09,서울특별시,강북구
325257,158620,166637,333362,163051,170311,339413,166160,173253,서울특별시_도봉구,W0A,서울특별시,도봉구
523037,252383,270654,532905,257923,274982,543752,263919,279833,서울특별시_노원구,W0B,서울특별시,노원구
479835,230279,249556,480032,231528,248504,483197,233702,249495,서울특별시_은평구,W0C,서울특별시,은평구
312173,149360,162813,309397,148663,160734,310313,149569,160744,서울특별시_서대문구,W0D,서울특별시,서대문구
371890,175150,196740,374035,176891,197144,375077,178240,196837,서울특별시_마포구,W0E,서울특별시,마포구
454251,222824,231427,458165,225186,232979,464185,228634,235551,서울특별시_양천구,W0F,서울특별시,양천구
580185,280034,300151,591796,286563,305233,596949,290079,306870,서울특별시_강서구,W0G,서울특별시,강서구
404408,199673,204735,406664,200987,205677,404497,200417,204080,서울특별시_구로구,W0H,서울특별시,구로구
231733,117226,114507,232810,118209,114601,233917,118915,115002,서울특별시_금천구,W0I,서울특별시,금천구
379480,187647,191833,367678,182438,185240,367778,183224,184554,서울특별시_영등포구,W0J,서울특별시,영등포구
391220,189152,202068,395963,191976,203987,396203,192533,203670,서울특별시_동작구,W0K,서울특별시,동작구
495060,248339,246721,500094,251009,249085,501957,252160,249797,서울특별시_관악구,W0L,서울특별시,관악구
425126,203359,221767,430826,206039,224787,433951,207868,226083,서울특별시_서초구,W0M,서울특별시,서초구
539231,257999,281232,545169,260806,284363,542364,259611,282753,서울특별시_강남구,W0N,서울특별시,강남구
667960,322299,345661,675961,327164,348797,666635,323526,343109,서울특별시_송파구,W6Z,서울특별시,송파구
459970,226216,233754,436067,215335,220732,427573,211816,215757,서울특별시_강동구,W0P,서울특별시,강동구
41523,20282,21241,41910,20557,21353,42795,20992,21803,부산광역시_중구,W0Q,부산광역시,중구
108135,52341,55794,108229,52627,55602,110534,53978,56556,부산광역시_서구,W0R,부산광역시,서구
88901,43509,45392,88165,43327,44838,86912,42830,44082,부산광역시_동구,W0S,부산광역시,동구
113342,55846,57496,116711,57629,59082,120109,59429,60680,부산광역시_영도구,W0T,부산광역시,영도구
359886,173920,185966,357880,173446,184434,362357,176316,186041,부산광역시_부산진구,W0U,부산광역시,부산진구
270745,131735,139010,271247,132295,138952,266515,130338,136177,부산광역시_동래구,W0V,부산광역시,동래구
267731,131037,136694,274480,134519,139961,279917,137437,142480,부산광역시_남구,W0W,부산광역시,남구
283952,140527,143425,291132,144229,146903,296952,147233,149719,부산광역시_북구,W0X,부산광역시,북구
402169,193618,208551,406102,195960,210142,409347,197871,211476,부산광역시_해운대구,W0Y,부산광역시,해운대구
311757,155228,156529,321004,160101,160903,327791,163766,164025,부산광역시_사하구,W0Z,부산광역시,사하구
232666,113595,119071,239062,117070,121992,242956,119261,123695,부산광역시_금정구,W10,부산광역시,금정구
137957,71245,66712,129566,66982,62584,122957,63491,59466,부산광역시_강서구,W11,부산광역시,강서구
209157,100700,108457,209395,101253,108142,207840,100789,107051,부산광역시_연제구,W12,부산광역시,연제구
176894,83573,93321,176148,83565,92583,176246,83852,92394,부산광역시_수영구,W13,부산광역시,수영구
212586,107405,105181,218094,110286,107808,223361,113240,110121,부산광역시_사상구,W14,부산광역시,사상구
174545,86439,88106,164716,81571,83145,164864,81598,83266,부산광역시_기장군,W15,부산광역시,기장군
76547,36799,39748,77421,37384,40037,79401,38498,40903,대구광역시_중구,W16,대구광역시,중구
341920,168443,173477,345469,170601,174868,351291,173955,177336,대구광역시_동구,W17,대구광역시,동구
170700,85572,85128,175277,88052,87225,184372,92796,91576,대구광역시_서구,W18,대구광역시,서구
146632,70471,76161,148113,71366,76747,150501,72664,77837,대구광역시_남구,W19,대구광역시,남구
440263,219197,221066,437710,218150,219560,439489,219307,220182,대구광역시_북구,W1A,대구광역시,북구
424314,205293,219021,428614,208024,220590,432759,210621,222138,대구광역시_수성구,W1B,대구광역시,수성구
558631,275626,283005,568887,281348,287539,573413,284127,289286,대구광역시_달서구,W1C,대구광역시,달서구
259339,131708,127631,256540,130361,126179,250543,127374,123169,대구광역시_달성군,W1D,대구광역시,달성군
139729,72485,67244,135135,70063,65072,122499,63700,58799,인천광역시_중구,W1E,인천광역시,중구
62542,31575,30967,64427,32536,31891,66233,33433,32800,인천광역시_동구,W1F,인천광역시,동구
404343,203638,200705,408862,206129,202733,416542,210088,206454,인천광역시_미추홀구,W1G,인천광역시,미추홀구
387450,192570,194880,366550,182374,184176,346359,172298,174061,인천광역시_연수구,W1H,인천광역시,연수구
525354,260923,264431,532704,264955,267749,537161,267426,269735,인천광역시_남동구,W1I,인천광역시,남동구
494962,244713,250249,511577,253338,258239,524640,260144,264496,인천광역시_부평구,W1J,인천광역시,부평구
296750,147976,148774,303471,151569,151902,312680,156128,156552,인천광역시_계양구,W1K,인천광역시,계양구
542040,273778,268262,544556,274942,269614,538596,272153,266443,인천광역시_서구,W1L,인천광역시,서구
69203,34644,34559,69178,34665,34513,68896,34546,34350,인천광역시_강화군,W1M,인천광역시,강화군
