disYear,disMonth,disDate,disDay,disQuantity,disQuantityRate,disCount,disCountRate
2018,04,20,6,1765682069,3.16,949240,3.28
2018,04,21,7,1805980208,3.24,945951,3.26
2018,04,22,1,1895228855,3.4,1038713,3.58
2018,04,23,2,1745099073,3.13,793255,2.74
2018,04,24,3,2039855479,3.66,1046237,3.61
2018,04,25,4,1899574889,3.4,1008371,3.48
2018,04,26,5,1738626739,3.12,955458,3.3
2018,04,27,6,1716321338,3.08,917985,3.17
2018,04,28,7,1743986639,3.13,930304,3.21
2018,04,29,1,2007256836,3.6,1104590,3.81
2018,04,30,2,2171177989,3.89,1048727,3.62
2018,05,01,3,1895373929,3.12,1063883,3.26
2018,05,02,4,1774489119,2.92,894773,2.74
2018,05,03,5,1839753957,3.03,995552,3.05
2018,05,04,6,1887622607,3.11,1015246,3.11
2018,05,05,7,1793844947,2.96,988255,3.03
2018,05,06,1,1561097019,2.57,848220,2.6
2018,05,07,2,2459234622,4.05,1169650,3.59
2018,05,08,3,2006923298,3.31,1022610,3.13
2018,05,09,4,1891520386,3.12,1012258,3.1
2018,05,10,5,1792836189,2.95,1001391,3.07
2018,05,11,6,1805569280,2.97,976414,2.99
2018,05,12,7,1468817930,2.42,758611,2.33
2018,05,13,1,2359471195,3.89,1289942,3.95
2018,05,14,2,2317462267,3.82,1145088,3.51
2018,05,15,3,2008319208,3.31,1078892,3.31
2018,05,16,4,1730365480,2.85,937797,2.87
2018,05,17,5,1739095139,2.86,970233,2.97
2018,05,18,6,1956475528,3.22,1067877,3.27
2018,05,19,7,1923791708,3.17,1040655,3.19
2018,05,20,1,2023606065,3.33,1127791,3.46
2018,05,21,2,2217465940,3.65,1094756,3.36
2018,05,22,3,1931707908,3.18,1018025,3.12
2018,05,23,4,2177823306,3.59,1164298,3.57
2018,05,24,5,1962175509,3.23,1081045,3.31
2018,05,25,6,1889496666,3.11,1046361,3.21
2018,05,26,7,1935348168,3.19,1057633,3.24
2018,05,27,1,2218614935,3.65,1251610,3.84
2018,05,28,2,2329968539,3.84,1192712,3.66
2018,05,29,3,1935816128,3.19,1067441,3.27
2018,05,30,4,1972165750,3.25,1128283,3.46
2018,05,31,5,1898467499,3.13,1112984,3.41
2018,06,01,6,1943778248,2.96,1101726,3.04
2018,06,02,7,2019392348,3.08,1118577,3.08
2018,06,03,1,2361514657,3.6,1323854,3.65
2018,06,04,2,2423264259,3.69,1249122,3.44
2018,06,05,3,1970447919,3.0,1100032,3.03
2018,06,06,4,2240880925,3.41,1256684,3.47
2018,06,07,5,2158839029,3.29,1205857,3.33
2018,06,08,6,2011440939,3.06,1130478,3.12
2018,06,09,7,1981411536,3.02,1108472,3.06
2018,06,10,1,2264335787,3.45,1284317,3.54
2018,06,11,2,2350213917,3.58,1195834,3.3
2018,06,12,3,2021042410,3.08,1123202,3.1
2018,06,13,4,2191700417,3.34,1249135,3.44
2018,06,14,5,2076698218,3.16,1155742,3.19
2018,06,15,6,2040259807,3.11,1129604,3.12
2018,06,16,7,2085223608,3.18,1147369,3.16
2018,06,17,1,2438177661,3.71,1366234,3.77
2018,06,18,2,2503377030,3.81,1280098,3.53
2018,06,19,3,2132884409,3.25,1173938,3.24
2018,06,20,4,2173092538,3.31,1244358,3.43
2018,06,21,5,2081061580,3.17,1209948,3.34
2018,06,22,6,2128748078,3.24,1194445,3.29
2018,06,23,7,2243614989,3.42,1227654,3.39
2018,06,24,1,2556867541,3.89,1414096,3.9
2018,06,25,2,2726447375,4.15,1388693,3.83
2018,06,26,3,1808465211,2.75,944452,2.6
2018,06,27,4,2317279433,3.53,1328098,3.66
