citySidoName,citySggName,2020_total_ingu,2020_man_ingu,2020_woman_ingu,2019_total_ingu,2019_man_ingu,2019_woman_ingu,2018_total_ingu,2018_man_ingu,2018_woman_ingu
경상북도,영천시,102015,51812,50203,102470,52100,50370,101595,51453,50142
경상북도,상주시,97228,47634,49594,100688,49378,51310,100297,49046,51251
경상북도,문경시,71406,35000,36406,72242,35391,36851,71874,35174,36700
경상북도,경산시,263728,132805,130923,263185,132616,130569,261093,131537,129556
경상북도,군위군,23256,11892,11364,23843,12166,11677,23919,12188,11731
경상북도,의성군,51724,25265,26459,52595,25720,26875,52944,25838,27106
경상북도,청송군,25044,12482,12562,25416,12694,12722,25678,12762,12916
경상북도,영양군,16692,8263,8429,16993,8419,8574,17356,8567,8789
경상북도,영덕군,36313,17197,19116,37361,17777,19584,38108,18103,20005
경상북도,청도군,42263,20775,21488,42910,21065,21845,43057,21117,21940
경상북도,고령군,31361,16074,15287,32373,16548,15825,32969,16818,16151
경상북도,성주군,43414,22473,20941,44015,22716,21299,44672,23011,21661
경상북도,칠곡군,114758,59828,54930,117047,61063,55984,118828,61923,56905
경상북도,예천군,55613,27352,28261,55100,27032,28068,53274,26170,27104
경상북도,봉화군,31494,15853,15641,32150,16146,16004,32843,16409,16434
경상북도,울진군,48716,24441,24275,49314,24658,24656,50036,24983,25053
경상북도,울릉군,9077,4956,4121,9617,5230,4387,9832,5328,4504
경상남도,창원시,1036738,525278,511460,1044740,529262,515478,1053601,534119,519482
경상남도,의창구,262408,133544,128864,258582,131544,127038,252896,128759,124137
경상남도,성산구,214570,109642,104928,220945,112865,108080,227337,116199,111138
경상남도,마산합포구,175716,87418,88298,177784,88457,89327,180535,89925,90610
경상남도,마산회원구,191289,95938,95351,193807,97453,96354,199457,100512,98945
경상남도,진해구,192755,98736,94019,193622,98943,94679,193376,98724,94652
경상남도,진주시,348096,172107,175989,347334,171834,175500,345987,171321,174666
경상남도,통영시,128293,64502,63791,131404,66053,65351,133720,67303,66417
경상남도,사천시,111105,56010,55095,111925,56451,55474,113888,57394,56494
경상남도,김해시,542338,274313,268025,542455,274336,268119,533672,269736,263936
경상남도,밀양시,104831,51356,53475,105552,51618,53934,106744,52161,54583
경상남도,거제시,245754,128978,116776,248276,130141,118135,250516,131003,119513
경상남도,양산시,352229,176641,175588,350759,176114,174645,348639,175184,173455
경상남도,의령군,26800,13140,13660,27168,13242,13926,27667,13418,14249
경상남도,함안군,64182,32561,31621,65700,33203,32497,67025,33923,33102
경상남도,창녕군,61301,30452,30849,62331,31015,31316,63396,31495,31901
경상남도,고성군,51361,25760,25601,52276,26208,26068,53243,26675,26568
경상남도,남해군,42958,20707,22251,43622,20988,22634,43990,21044,22946
경상남도,하동군,44785,22364,22421,46574,23149,23425,47533,23534,23999
경상남도,산청군,34857,17110,17747,35417,17321,18096,35952,17589,18363
경상남도,함양군,39080,18853,20227,39637,19097,20540,40044,19172,20872
경상남도,거창군,61502,30082,31420,62179,30345,31834,62455,30340,32115
경상남도,합천군,44006,21209,22797,45204,21655,23549,45916,22001,23915
제주특별자치도,제주시,492466,246588,245878,489405,245533,243872,485946,243974,241972
제주특별자치도,서귀포시,182169,92021,90148,181584,91812,89772,181245,91745,89500
